n_gen	99_mu	37_mu	60_mu	114_mu	18_mu	-1_mu	73_mu	-5_mu	-4_mu	-3_mu	-2_mu	99_sig	37_sig	60_sig	114_sig	18_sig	-1_sig	73_sig	-5_sig	-4_sig	-3_sig	-2_sig	node.brow_mean	node.current_brow_mean_ln_prior_density	ln_posterior	
78000	49.153179	51.820167	51.488877	51.701286	49.129705	49.296963	50.850702	51.044067	51.488877	49.130336	47.650322	2.027519	1.803758	1.944494	1.725624	2.295911	2.024528	1.878507	1.685948	1.944494	1.345581	2.063153	17.434711	-1.013425	-7.140156	
80000	48.347064	49.561332	50.242974	50.272501	49.654295	49.296963	50.095039	49.914820	50.242974	49.561332	50.854327	2.151412	2.465820	1.739338	1.593900	1.958711	2.024528	2.205307	1.593900	1.739338	2.317398	1.776498	16.712605	-0.960237	-10.779973	
82000	49.044215	49.271635	48.795019	48.452333	50.696181	49.296963	48.046678	49.044215	50.868560	47.184638	46.950321	1.933802	2.282982	1.793555	2.154594	2.098283	2.024528	1.850938	1.933802	1.888985	2.557812	1.853046	15.857510	-1.571580	-2.460593	
84000	51.352843	49.833568	52.701743	50.073756	50.049881	49.296963	52.858448	48.966126	52.902562	49.742968	49.238896	1.893893	1.901625	2.380119	1.795372	2.543085	2.024528	2.211091	1.690514	2.291197	1.901625	2.509736	15.539629	-1.985280	-10.212443	
86000	48.500798	50.306595	48.636670	51.119533	48.785966	51.158388	48.407217	46.481119	48.409852	49.704684	49.704684	2.951585	2.580481	2.055386	2.055130	2.377552	2.131994	2.254317	1.956324	2.113691	2.366750	2.366750	13.793085	-6.061089	-11.949408	
88000	51.007481	51.114582	50.717400	50.159285	51.506681	51.158388	48.681338	50.980247	51.323555	51.219357	49.704684	1.686484	2.109755	1.590774	2.175089	1.951851	2.131994	2.274965	2.185405	1.699146	1.905891	2.366750	16.721651	-0.957678	-5.458111	
90000	51.315924	50.022076	48.407445	52.096929	47.003493	49.993760	49.711297	52.756008	49.904731	50.473116	50.561538	2.242806	1.943822	2.459987	2.293108	2.112040	2.390148	1.846083	2.218073	2.060755	1.871335	2.114308	13.920695	-5.659999	-3.779093	
92000	50.828718	51.166087	53.229603	51.734213	50.190905	50.253212	50.219167	47.418864	50.816514	49.062003	49.630136	1.927005	1.772074	2.220414	2.190059	1.892269	2.390148	2.029942	1.932825	2.417137	1.956826	2.390148	18.641918	-2.266886	-6.945223	
94000	50.623972	50.591797	49.186722	49.905769	50.970301	51.038153	51.041849	50.580721	49.628872	50.925974	50.828185	1.625246	1.565208	1.927441	2.042220	2.259241	1.524437	2.496856	1.985802	2.551919	2.280817	2.496856	17.202851	-0.939513	-9.495533	
96000	50.250118	50.402085	52.879109	50.292250	49.902432	51.038153	50.354572	50.879664	50.354572	50.235500	50.828185	1.896430	2.578728	2.056361	2.301335	1.907513	1.524437	2.126322	2.301335	2.213905	2.071712	2.496856	18.409239	-1.911916	-3.925580	
98000	48.982201	51.828619	49.899878	49.154623	51.895674	51.038153	50.872027	47.954248	49.378223	50.285437	50.828185	2.400907	1.527775	2.108898	1.699677	1.566233	1.524437	2.044034	2.360796	1.895433	1.423784	2.496856	16.244636	-1.204226	-11.851116	
100000	47.860965	52.805406	50.610651	51.313599	50.404569	51.038153	52.228688	50.267319	50.178669	50.111746	50.161963	1.936371	2.209596	2.053966	2.020749	1.634267	1.524437	1.740838	1.987663	1.734437	1.689472	2.266834	16.222973	-1.220824	-2.631730	
102000	49.763301	51.033274	51.421305	49.489139	49.004677	51.038153	52.074412	49.495845	51.421305	50.662998	50.662998	1.991171	1.604537	1.920867	1.814413	1.961041	1.524437	1.622564	1.991171	1.920867	2.266834	2.266834	17.557593	-1.074393	-7.035024	
104000	50.783614	49.698271	47.485105	49.957744	51.573557	51.038153	48.382491	49.957021	48.382491	49.957859	50.662998	2.191234	1.924771	1.950150	1.849612	2.008600	1.524437	1.884989	1.829945	1.884989	1.810136	2.266834	17.007823	-0.918969	-3.050203	
106000	48.898390	50.935246	49.426959	49.041548	50.935019	51.038153	49.352869	50.861977	49.426959	51.057231	50.662998	1.977438	2.161948	2.133573	1.891165	1.993468	1.524437	2.241800	1.882954	2.133573	2.161948	2.266834	19.023799	-2.966820	-6.551077	
108000	48.808949	48.258174	51.302026	49.663185	49.034228	51.038153	50.107820	49.924179	50.771033	49.049118	50.662998	1.834895	2.389827	2.468203	2.035149	2.293863	1.524437	2.220390	1.766754	2.187567	2.415406	2.266834	18.627810	-2.243821	-7.631847	
110000	51.266067	49.233114	50.364490	49.522936	50.172093	50.625682	51.603003	50.625682	50.138862	52.315145	50.729648	1.616642	2.582237	2.075801	2.409396	2.412045	1.892513	1.916097	1.892513	1.992490	2.579435	1.749301	18.009128	-1.428108	-3.207200	
112000	51.890260	49.764139	51.239005	50.438580	51.912746	50.625682	51.396717	51.890260	51.239005	51.912746	50.432081	2.547525	1.900034	1.623202	1.608323	2.012234	1.892513	1.709339	1.795396	1.623202	2.012234	2.342487	15.705543	-1.756748	-12.013168	
114000	50.082015	49.508121	48.388344	52.749390	49.185345	50.625682	49.878950	50.076208	50.439338	49.354989	50.432081	2.027948	2.365832	1.881526	2.183776	1.874743	1.892513	1.766034	2.056036	2.813903	1.999746	2.342487	17.093303	-0.923291	-4.194566	
116000	51.109829	48.819504	50.762258	48.803474	49.795435	50.625682	49.900775	47.076330	50.698884	48.759651	51.048705	1.718508	1.738688	1.981626	2.440438	2.294487	1.892513	1.819959	2.406953	2.717779	1.738688	2.590562	17.020808	-0.919155	-8.977784	
